Use Case ID,BIAS_Ranking,COMPLEXITY_Ranking,EXPENSIVENESS_Ranking,EXPLAINABLE_Ranking,SAFE_Ranking,TRUSTWORTHY_Ranking,EFFECTIVENESS_Ranking,Use Case Name,gpt-4-turbo-preview_summaries
DHS-368,22,1,1,1,1,49,58,Commercial Generative AI for Text Generation (AI Chatbot),"DHS employees are authorized to use generative AI, also known as AI Chatbots, for various tasks, including drafting documents, conducting research, and preparing briefing materials. These tools utilize NLP and LLM technologies to generate natural language responses based on user prompts."
DHS-369,26,2,2,2,2,50,56,Commercial Generative AI for Image Generation,"DHS employees can use commercial generative AI tools for daily tasks to create images via text prompts, employing technologies like NLP, GANs, and Diffusion Models for versatile graphical content generation."
DHS-373,27,3,3,3,3,51,54,Commercial Generative AI for Code Generation,DHS employees can use commercial generative AI tools for daily code generation tasks. These tools utilize NLP and LLM technologies to transform plain-language prompts into functional code in various programming languages for different purposes.
DHS-33,5,4,4,4,4,16,52,RelativityOne,"RelativityOne is a platform designed for efficient document review in litigation, FOIA, and other large-scale document review contexts."
DHS-138,6,5,5,5,5,43,50,RVSS Legacy Overhauled System Project (INVNT),"Video Computer Aided Detection (VCAD), also known as Matroid AI, is software that allows CBP users to create vision detectors to identify objects, people, and events in images or video streams. These detectors can operate in real-time or analyze recorded footage. VCAD offers various reporting tools and alert notifications for users to process detected events. Additionally, it provides a developer API for integrating VCAD's computer vision capabilities into CBP applications."
DHS-23,8,6,6,6,6,9,48,Autonomous Aerostat,"An aerostat system employing three tethers, advanced weather sensors, analytics, and strong winches utilizes AI/ML to autonomously decide when to launch and land according to weather conditions. It also uses AI and robotics for self-operating launch and recovery during bad weather, reducing the need for on-site personnel and saving time and resources."
DHS-24,9,7,7,7,7,10,46,Entity Resolution,"Third-party global trade data is utilized to enhance investigations into entities of interest by combining multi-language data on companies and goods, offering network analysis to evaluate trade flows and associated risks. This aids in validating existing information or improving understanding of cross-border networks under investigation. AI/ML models support the management and analysis of this information, contributing to a comprehensive software knowledge graph and user interface."
DHS-27,10,8,8,8,8,11,44,Geospatial imagery utilizing annotation,"The text describes a system that uses a commercial constellation of Synthetic Aperture Radar (SAR) satellites to capture images of any location on Earth, regardless of weather conditions or time of day. It employs artificial intelligence technologies, such as machine vision and object detection, to identify airframes, military vehicles, and marine vessels. Additionally, it has built-in features for detecting changes in areas, which is beneficial for disaster response efforts."
DHS-28,11,9,9,9,9,12,42,Use of technology to identify proof of life,"The CBP One app integrates ""Liveness Detection"" technology, utilizing Artificial Intelligence and the user's mobile device camera to authenticate users by verifying their live presence, aiming to prevent fraudulent activities. This feature ensures the person using the app is the actual individual they claim to be, by distinguishing them from photos, masks, or other false representations. The app serves as a unified platform for various CBP services, offering guided assistance for users in selecting appropriate services, forms, or applications."
DHS-29,13,10,10,10,10,13,40,Integrated Digital Environment,"The Integrated Digital Environment enhances management understanding of workflows and application usage, leveraging AI/ML to analyze end user activity for improved efficiency and effectiveness in interface configuration, resource utilization, and application development for CBP. It offers tailored analytics, usage observation, and workflow suggestions, utilizing agency and open-source data systems for better insight generation. Additionally, it customizes automations for agency applications, fostering greater connectivity and security, and enabling administrators to optimize application use more effectively."
